Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,roas - Rate - day 0 - partial,roas - Rate - day 1 - partial,roas - Rate - day 2 - partial,roas - Rate - day 3 - partial,roas - Rate - day 4 - partial,roas - Rate - day 5 - partial,roas - Rate - day 6 - partial,roas - Rate - day 7 - partial,roas - Rate - day 8 - partial,roas - Rate - day 9 - partial,roas - Rate - day 10 - partial,roas - Rate - day 11 - partial,roas - Rate - day 12 - partial,roas - Rate - day 13 - partial,roas - Rate - day 14 - partial,roas - Rate - day 15 - partial,roas - Rate - day 16 - partial,roas - Rate - day 17 - partial,roas - Rate - day 18 - partial,roas - Rate - day 19 - partial,roas - Rate - day 20 - partial,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-08,594,42.95,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-09,529,32.19,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-09,749,81.62,0.11,39.7,53.91,64.08,69.26,72.07,75.36,77.95,79.93,82.89,85.11,86.35,87.51,88.46,89.07,90.22,91.3,92.1,93.26,93.99,94.49,94.94,95.23,95.76,96.27,96.85,97.86,99.12,99.12,99.12
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-10,1199,106.58,0.09,45.68,54.02,58.38,61.65,64.83,68.08,69.78,71.01,72.29,72.96,73.65,74.27,74.72,75.32,76.09,77.29,78.01,78.52,79.08,79.78,80.39,80.9,81.84,82.57,83.31,84.32,84.32,84.32,84.32
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-11,1234,106.17,0.09,38.46,45.7,50.13,53.47,55.81,57.05,58.1,58.82,59.34,59.81,60.25,60.58,61.19,61.89,62.38,62.88,63.4,63.91,64.43,64.87,65.21,65.62,66.27,66.91,67.57,67.57,67.57,67.57,67.57
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-12,1108,101.49,0.09,37.13,45.64,50.47,53.11,55.7,57.8,59.86,60.49,61.24,61.96,62.64,63.48,64.35,65.14,65.79,66.33,66.9,67.43,67.86,68.43,68.75,69.65,70.3,71.27,71.27,71.27,71.27,71.27,71.27
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-13,1268,101.47,0.08,37.81,46.66,50.29,53.07,55.51,58.34,59.3,59.96,60.59,61.22,61.98,62.85,63.47,64.19,64.9,65.34,65.93,66.44,66.79,67.22,68.16,69.07,70.22,70.22,70.22,70.22,70.22,70.22,70.22
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-14,1090,101.66,0.09,41.9,50.01,53.98,56.66,59.6,61.14,62.44,63.39,63.95,64.89,65.75,66.61,67.86,68.55,69.32,70.08,70.7,71.37,72.3,73.17,73.88,74.83,74.83,74.83,74.83,74.83,74.83,74.83,74.83
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-15,1182,97.94,0.08,46.09,55.92,62.15,66.28,69.56,71.92,74.27,76.38,77.89,79.88,82.47,84.03,85.57,87.02,88.14,88.84,89.84,90.95,92.27,93.57,95.04,95.04,95.04,95.04,95.04,95.04,95.04,95.04,95.04
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-16,1047,87.67,0.08,44.92,60.69,68.51,71.72,74.05,76.24,78.26,79.72,80.91,82.01,83.15,84.22,85.24,86.09,86.82,87.44,88.52,89.65,90.89,92.19,92.19,92.19,92.19,92.19,92.19,92.19,92.19,92.19,92.19
