Media Source,Campaign,Campaign Id,Cohort Day,Users,retention,Cost,Average eCPI,sessions - Unique users - day 1,sessions - Unique users - day 2,sessions - Unique users - day 3,sessions - Unique users - day 4,sessions - Unique users - day 5,sessions - Unique users - day 6,sessions - Unique users - day 7,sessions - Unique users - day 8,sessions - Unique users - day 9,sessions - Unique users - day 10,sessions - Unique users - day 11,sessions - Unique users - day 12,sessions - Unique users - day 13,sessions - Unique users - day 14,sessions - Unique users - day 15,sessions - Unique users - day 16,sessions - Unique users - day 17,sessions - Unique users - day 18,sessions - Unique users - day 19,sessions - Unique users - day 20,sessions - Unique users - day 21 - partial,sessions - Unique users - day 22 - partial,sessions - Unique users - day 23 - partial,sessions - Unique users - day 24 - partial,sessions - Unique users - day 25 - partial,sessions - Unique users - day 26 - partial,sessions - Unique users - day 27 - partial,sessions - Unique users - day 28 - partial,retention2
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-12,1088,3888.0000000000005,89.37,0.08,423,254,219,179,166,156,136,138,126,116,107,106,103,103,106,103,99,87,96,91,83,81,89,77,0,0,0,0,423(38.88%)
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-13,1387,3994.0,99.48,0.07,554,352,285,254,228,201,189,186,161,158,140,147,147,143,131,125,131,127,124,120,130,116,97,0,0,0,0,0,554(39.94%)
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-14,1394,3824.0,98.1,0.07,533,324,272,214,208,182,179,165,155,167,151,149,137,139,141,131,131,130,129,124,119,98,0,0,0,0,0,0,533(38.24%)
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-15,1264,3861.0,97.64,0.08,488,316,268,231,211,201,181,176,164,164,147,149,140,130,122,127,116,120,122,122,105,0,0,0,0,0,0,0,488(38.61%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-1_ON,2.385243187580053e+16,2023-02-08,96,4167.0,72.2,0.75,40,27,17,16,16,15,14,15,14,14,11,11,10,10,11,10,10,10,9,9,9,9,9,7,6,6,6,6,40(41.67%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-1_ON,2.385243187580053e+16,2023-02-09,103,4466.0,68.85,0.67,46,26,16,12,10,10,10,8,7,9,6,6,6,7,6,6,6,6,6,6,5,6,6,5,5,5,5,0,46(44.66%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-1_ON,2.385243187580053e+16,2023-02-10,153,4248.0,117.27,0.77,65,49,44,34,32,27,26,22,21,20,17,16,12,14,14,11,9,11,10,7,7,8,8,10,9,10,0,0,65(42.48%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-1_ON,2.385243187580053e+16,2023-02-11,260,3615.0,188.92,0.73,94,56,46,36,32,29,24,23,21,22,19,20,18,17,16,14,13,13,12,11,7,7,6,5,6,0,0,0,94(36.15%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-1_ON,2.385243187580053e+16,2023-02-12,205,4878.0,170.22,0.83,100,66,47,37,34,33,30,30,30,27,27,25,24,24,24,25,23,22,19,20,20,19,19,17,0,0,0,0,100(48.78%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-1_ON,2.385243187580053e+16,2023-02-13,234,4573.0,176.17,0.75,107,66,54,51,47,41,34,34,32,30,27,28,27,24,24,24,21,22,20,21,18,19,15,0,0,0,0,0,107(45.73%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-1_ON,2.385243187580053e+16,2023-02-14,228,4298.0,171.38,0.75,98,67,55,47,45,40,37,40,35,29,27,22,18,16,19,14,13,12,10,11,11,10,0,0,0,0,0,0,98(42.98%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-1_ON,2.385243187580053e+16,2023-02-15,221,4977.0,168.65,0.76,110,69,46,40,35,32,30,27,25,23,22,22,20,21,21,20,22,21,22,20,18,0,0,0,0,0,0,0,110(49.77%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-2_ON,2.385243197400053e+16,2023-02-08,220,3954.9999999999995,111.21,0.51,87,53,40,30,27,24,22,22,20,17,17,16,12,13,12,11,11,11,11,10,10,9,9,10,11,10,10,10,87(39.55%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-2_ON,2.385243197400053e+16,2023-02-09,166,3735.0,123.81,0.75,62,31,25,21,20,18,17,17,16,16,17,16,13,12,11,13,13,12,12,13,13,13,12,11,10,11,12,0,62(37.35%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-2_ON,2.385243197400053e+16,2023-02-10,250,3200.0,153.11,0.61,80,46,36,28,27,23,21,18,17,16,16,15,14,11,11,10,11,10,8,9,8,8,8,9,11,9,0,0,80(32.0%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-2_ON,2.385243197400053e+16,2023-02-11,235,4043.0,156.55,0.67,95,57,46,41,34,29,27,26,25,23,23,23,21,21,22,20,19,17,18,17,19,16,16,18,15,0,0,0,95(40.43%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-2_ON,2.385243197400053e+16,2023-02-12,216,4028.0,149.41,0.69,87,47,44,38,35,32,30,30,27,24,23,21,18,17,16,15,16,15,15,16,14,14,13,13,0,0,0,0,87(40.28%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-2_ON,2.385243197400053e+16,2023-02-13,277,3646.0,156.99,0.57,101,57,45,41,35,33,29,28,26,25,23,23,22,19,19,18,17,16,13,14,16,14,14,0,0,0,0,0,101(36.46%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-2_ON,2.385243197400053e+16,2023-02-14,250,4200.0,150.34,0.6,105,60,44,39,34,31,31,26,25,22,19,17,19,16,17,17,15,14,15,17,15,15,0,0,0,0,0,0,105(42.0%)
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-2_ON,2.385243197400053e+16,2023-02-15,209,3397.0,144.89,0.69,71,44,33,29,26,24,24,21,21,17,17,15,14,15,13,10,13,11,12,11,10,0,0,0,0,0,0,0,71(33.97%)
