Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,new_column,roas - Rate - day 0,roas - Rate - day 1,roas - Rate - day 2,roas - Rate - day 3,roas - Rate - day 4,roas - Rate - day 5,roas - Rate - day 6,roas - Rate - day 7,roas - Rate - day 8,roas - Rate - day 9,roas - Rate - day 10,roas - Rate - day 11,roas - Rate - day 12,roas - Rate - day 13,roas - Rate - day 14,roas - Rate - day 15,roas - Rate - day 16,roas - Rate - day 17,roas - Rate - day 18,roas - Rate - day 19,roas - Rate - day 20,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial
Facebook Ads,youdaozhixuan_liveme_FB_MessCleaner_BR_02_aaa_page002_ys_0210-2_ON,2.385286313431023e+16,2023-02-12,337,51.56,0.15,47,25.78,29.77,32.17,33.34,34.49,34.84,35.38,35.69,35.81,35.85,35.95,35.98,36.02,36.04,36.26,36.32,36.36,36.37,36.38,36.5,36.56,36.65,36.69,36.69,36.69,36.69,36.69,36.69,36.69
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-15,336,28.32,0.08,76,33.63,42.78,46.77,51.11,52.61,53.91,55.38,57.22,59.3,61.17,62.64,64.15,66.22,67.89,69.2,70.37,71.1,71.87,72.51,73.34,73.34,73.34,73.34,73.34,73.34,73.34,73.34,73.34,73.34
Facebook Ads,youdaozhixuan_liveme_FB_MessCleaner_BR_02_aaa_page002_ys_0210-2_ON,2.385286313431023e+16,2023-02-14,334,51.6,0.15,73,28.6,33.45,36.39,38.51,39.89,40.52,41.31,42.37,43.45,43.84,44.41,45.14,45.67,46.06,46.42,46.81,47.12,47.51,47.97,48.5,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69,49.69
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-13,329,30.44,0.09,96,32.21,40.62,48.4,51.1,53.97,56.18,57.18,57.88,58.69,59.33,60.39,61.85,62.7,63.62,64.43,64.88,65.69,66.39,66.83,67.32,67.86,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28
Facebook Ads,youdaozhixuan_liveme_FB_MessCleaner_BR_02_aaa_page002_ys_0210-2_ON,2.385286313431023e+16,2023-02-15,317,38.94,0.12,73,23.98,29.43,32.79,34.87,36.37,37.39,37.94,38.66,39.82,40.49,41.62,42.26,43.0,43.35,43.43,43.54,43.66,43.73,43.93,44.04,44.04,44.04,44.04,44.04,44.04,44.04,44.04,44.04,44.04
googleadwords_int,MessCleaner_AND_US_UAC1.0_Bid0.50_Xueqing_20221209,19193821324.0,2023-02-11,308,141.8,0.46,160,17.08,23.6,27.54,31.28,33.8,35.72,38.42,40.32,42.03,43.08,43.79,45.56,47.46,48.95,50.96,52.13,53.47,54.66,55.66,56.36,57.68,58.58,59.96,61.52,61.52,61.52,61.52,61.52,61.52
Facebook Ads,youdaozhixuan_liveme_FB_MessCleaner_BR_02_aaa_page002_ys_0210-2_ON,2.385286313431023e+16,2023-02-11,306,50.88,0.17,38,23.6,26.93,28.6,30.03,30.82,31.4,32.2,32.52,32.98,33.25,33.67,33.95,34.12,34.42,34.49,34.74,35.06,35.62,35.84,36.29,36.51,37.2,37.51,38.08,38.08,38.08,38.08,38.08,38.08
Facebook Ads,youdaozhixuan_Liveme_FB__US_01_aaa_page002_ys_0206-2_ON,2.385243197400053e+16,2023-02-13,277,156.99,0.57,57,44.39,56.18,62.31,67.59,70.91,73.38,75.67,77.14,78.03,79.67,81.81,83.13,84.37,85.34,86.11,87.18,88.41,90.15,92.45,93.71,95.86,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-08,276,48.4,0.18,53,17.39,21.41,23.28,24.52,25.13,25.93,26.55,27.07,27.25,27.7,28.0,28.27,28.44,28.59,28.83,29.09,29.45,29.73,29.94,30.19,30.36,30.55,30.79,31.14,31.29,31.4,31.45,31.45,31.45
Facebook Ads,youdaozhixuan_liveme_FB_MessCleaner_BR_02_aaa_page002_ys_0210_ON,2.385286196786023e+16,2023-02-13,274,52.72,0.19,29,26.79,32.13,35.33,37.3,38.18,38.67,38.97,39.13,39.26,39.4,39.54,39.57,39.59,39.6,39.62,39.65,39.68,39.71,39.78,39.82,39.92,40.04,40.04,40.04,40.04,40.04,40.04,40.04,40.04
